iter	Passed	Remaining
552	45131	73940
553	45220	73870
554	45299	73785
555	45376	73696
556	45460	73618
557	45557	73561
558	45658	73510
559	45740	73429
560	45821	73347
561	45925	73300
562	46024	73247
563	46122	73190
564	46214	73125
565	46288	73031
566	46357	72928
567	46422	72821
568	46493	72723
569	46567	72629
570	46636	72528
571	46721	72451
572	46796	72359
573	46881	72282
574	46972	72214
575	47053	72132
576	47149	72072
577	47240	72004
578	47334	71942
579	47435	71889
580	47540	71843
581	47627	71768
582	47703	71678
583	47775	71580
584	47842	71477
585	47916	71383
586	47987	71286
587	48068	71203
588	48152	71125
589	48252	71070
590	48347	71008
591	48432	70930
592	48510	70843
593	48587	70753
594	48671	70676
595	48787	70643
596	48882	70581
597	48963	70497
598	49035	70402
599	49113	70313
600	49197	70236
601	49283	70159
602	49364	70076
603	49448	69997
604	49525	69909
605	49601	69818
606	49697	69756
607	49809	69716
608	49905	69655
609	49995	69583
610	50057	69474
611	50128	69376
612	50196	69276
613	50283	69201
614	50380	69139
615	50449	69041
616	50532	68960
617	50631	68901
618	50724	68834
619	50813	68761
620	50903	68691
621	50998	68627
622	51067	68527
623	51162	68462
624	51264	68406
625	51368	68354
626	51468	68296
627	51597	68275
628	51692	68211
629	51778	68133
630	51854	68043
631	51919	67938
632	51984	67833
633	52047	67727
634	52123	67637
635	52200	67548
636	52264	67443
637	52337	67349
638	52398	67241
639	52464	67138
640	52534	67040
641	52600	66938
642	52676	66848
643	52764	66775
644	52867	66719
645	52969	66663
646	53055	66586
647	53138	66505
648	53210	66410
649	53283	66317
650	53353	66220
651	53430	66132
652	53518	66057
653	53621	66001
654	53715	65934
655	53823	65883
656	53928	65830
657	54005	65742
658	54069	65638
659	54133	65534
660	54194	65427
661	54265	65331
662	54334	65234
663	54406	65139
664	54476	65044
665	54544	64946
666	54640	64880
667	54748	64829
668	54860	64782
669	54951	64711
670	55025	64620
671	55087	64515
672	55156	64417
673	55223	64318
674	55304	64234
675	55381	64147
676	55461	64063
677	55543	63982
678	55618	63892
679	55706	63817
680	55789	63735
681	55882	63666
682	55977	63599
683	56053	63510
684	56124	63416
685	56190	63316
686	56276	63238
687	56375	63176
688	56480	63120
689	56573	63050
690	56650	62963
691	56731	62879
692	56796	62779
693	56865	62683
694	56932	62584
695	57004	62491
696	57096	62421
697	57183	62344
698	57278	62277
699	57364	62199
700	57443	62114
701	57517	62023
702	57595	61938
703	57676	61854
704	57763	61778
705	57854	61706
706	57961	61650
707	58060	61586
708	58158	61521
709	58242	61441
710	58332	61368
711	58427	61299
712	58520	61228
713	58624	61169
714	58705	61086
715	58783	60999
716	58847	60899
717	58914	60801
718	58976	60699
719	59043	60601
720	59112	60506
721	59179	60408
722	59248	60314
723	59318	60220
724	59386	60123
725	59458	60032
726	59539	59949
727	59623	59869
728	59694	59776
729	59779	59697
730	59863	59618
731	59966	59557
732	60061	59488
733	60155	59417
734	60267	59365
735	60373	59307
736	60459	59228
737	60542	59147
738	60631	59072
739	60727	59004
740	60817	58929
741	60902	58850
742	60996	58780
743	61072	58692
744	61164	58619
745	61259	58549
746	61329	58455
747	61399	58362
748	61462	58262
749	61530	58166
750	61594	58067
751	61666	57976
752	61741	57888
753	61808	57791
754	61871	57692
755	61936	57594
756	62014	57508
757	62099	57430
758	62190	57355
759	62270	57272
760	62340	57179
761	62409	57086
762	62484	56997
763	62564	56914
764	62650	56835
765	62758	56777
766	62843	56698
767	62919	56611
768	62999	56527
769	63099	56461
770	63196	56392
771	63291	56322
772	63381	56247
773	63479	56179
774	63585	56119
775	63658	56029
776	63756	55961
777	63850	55889
778	63938	55812
779	64046	55753
780	64156	55695
781	64261	55633
782	64360	55565
783	64435	55476
784	64500	55380
785	64577	55293
786	64666	55216
787	64761	55145
788	64855	55073
789	64945	54997
790	65009	54900
791	65084	54811
792	65150	54716
793	65218	54622
794	65298	54538
795	65387	54461
796	65463	54375
797	65553	54299
798	65647	54226
799	65731	54146
800	65822	54071
801	65916	53999
802	65991	53910
803	66063	53820
804	66138	53732
805	66205	53638
806	66279	53549
807	66371	53475
808	66460	53398
809	66540	53314
810	66615	53226
811	66696	53143
812	66783	53065
813	66878	52993
814	66974	52921
815	67068	52849
816	67150	52767
817	67242	52692
818	67324	52609
819	67396	52519
820	67462	52425
821	67524	52327
822	67589	52231
823	67660	52141
824	67733	52052
825	67807	51963
826	67891	51882
827	67984	51809
828	68062	51723
829	68144	51642
830	68219	51554
831	68303	51474
832	68391	51395
833	68492	51328
834	68570	51242
835	68647	51156
836	68729	51074
837	68828	51005
838	68934	50941
839	69037	50874
840	69142	50808
841	69233	50732
842	69313	50649
843	69388	50561
844	69460	50471
845	69523	50375
846	69592	50284
847	69667	50196
848	69751	50115
849	69827	50029
850	69905	49944
851	69975	49853
852	70053	49768
853	70128	49680
854	70190	49585
855	70267	49499
856	70336	49407
857	70415	49324
858	70502	49244
859	70592	49168
860	70681	49091
861	70767	49011
862	70872	48945
863	70977	48879
864	71075	48808
865	71157	48725
866	71221	48630
867	71289	48539
868	71354	48445
869	71424	48354
870	71490	48262
871	71564	48174
872	71639	48088
873	71713	48000
874	71806	47925
875	71921	47865
876	72036	47805
877	72129	47730
878	72223	47656
879	72309	47576
880	72386	47490
881	72458	47401
882	72523	47308
883	72593	47218
884	72665	47130
885	72735	47039
886	72808	46951
887	72905	46879
888	72999	46804
889	73093	46730
890	73188	46656
891	73283	46582
892	73365	46500
893	73445	46416
894	73513	46325
895	73582	46235
896	73652	46145
897	73727	46059
898	73801	45971
899	73884	45890
900	73971	45811
901	74064	45736
902	74155	45659
903	74242	45580
904	74312	45490
905	74387	45404
906	74470	45322
907	74544	45235
908	74628	45154
909	74708	45071
910	74805	44998
911	74905	44926
912	74995	44849
913	75065	44760
914	75172	44692
915	75243	44603
916	75308	44511
917	75397	44433
918	75490	44357
919	75579	44279
920	75662	44197
921	75732	44109
922	75828	44034
923	75908	43951
924	75982	43864
925	76048	43773
926	76121	43685
927	76198	43600
928	76294	43526
929	76392	43453
930	76501	43386
931	76591	43308
932	76666	43222
933	76733	43131
934	76798	43040
935	76881	42958
936	76973	42881
937	77080	42813
938	77175	42738
939	77258	42656
940	77334	42570
941	77407	42483
942	77476	42394
943	77543	42304
944	77624	42220
945	77697	42134
946	77780	42052
947	77862	41970
948	77940	41885
949	78035	41810
950	78123	41731
951	78224	41659
952	78320	41584
953	78401	41501
954	78472	41413
955	78542	41325
956	78625	41243
957	78725	41170
958	78840	41105
959	78940	41032
960	79022	40950
961	79101	40866
962	79195	40790
963	79269	40703
964	79344	40617
965	79414	40529
966	79484	40440
967	79550	40350
968	79647	40275
969	79735	40196
970	79825	40118
971	79911	40037
972	80004	39961
973	80088	39879
974	80180	39802
975	80260	39718
976	80332	39631
977	80410	39547
978	80482	39460
979	80567	39379
980	80667	39306
981	80770	39233
982	80875	39162
983	80955	39079
984	81027	38992
985	81102	38906
986	81178	38821
987	81256	38736
988	81332	38651
989	81412	38568
990	81485	38481
991	81571	38400
992	81654	38319
993	81759	38247
994	81871	38179
995	81974	38106
996	82057	38024
997	82143	37943
998	82230	37863
999	82320	37785
1000	82416	37708
1001	82505	37629
1002	82607	37556
1003	82682	37470
1004	82770	37390
1005	82854	37309
1006	82940	37228
1007	83036	37152
1008	83120	37070
1009	83193	36984
1010	83275	36901
1011	83365	36822
1012	83471	36750
1013	83581	36680
1014	83678	36604
1015	83761	36522
1016	83850	36442
1017	83930	36358
1018	84009	36274
1019	84080	36187
1020	84161	36104
1021	84243	36021
1022	84334	35943
1023	84415	35859
1024	84483	35771
1025	84547	35681
1026	84612	35591
1027	84682	35503
1028	84763	35421
1029	84839	35335
1030	84942	35262
1031	85038	35185
1032	85139	35110
1033	85210	35023
1034	85288	34939
1035	85355	34850
1036	85428	34764
1037	85503	34679
1038	85592	34599
1039	85691	34523
1040	85790	34447
1041	85888	34372
1042	85979	34292
1043	86083	34219
1044	86165	34136
1045	86245	34052
1046	86310	33963
1047	86378	33875
1048	86445	33787
1049	86509	33697
1050	86577	33609
1051	86651	33523
1052	86733	33441
1053	86826	33363
1054	86915	33283
1055	86995	33199
1056	87070	33114
1057	87158	33034
1058	87247	32954
1059	87326	32871
1060	87403	32786
1061	87471	32698
1062	87546	32613
1063	87619	32527
1064	87692	32441
1065	87774	32359
1066	87868	32281
1067	87976	32208
1068	88084	32135
1069	88167	32053
1070	88248	31970
1071	88323	31885
1072	88397	31800
1073	88461	31711
1074	88530	31623
1075	88601	31537
1076	88687	31456
1077	88761	31371
1078	88846	31289
1079	88921	31205
1080	89003	31122
1081	89095	31043
1082	89198	30968
1083	89293	30890
1084	89376	30807
1085	89449	30722
1086	89521	30636
1087	89596	30551
1088	89686	30471
1089	89773	30391
1090	89864	30311
1091	89940	30227
1092	90025	30145
1093	90109	30063
1094	90192	29981
1095	90279	29901
1096	90359	29817
1097	90443	29736
1098	90526	29653
1099	90605	29570
1100	90683	29486
1101	90764	29403
1102	90832	29316
1103	90917	29235
1104	91001	29153
1105	91102	29076
1106	91194	28997
1107	91284	28917
1108	91376	28838
1109	91462	28757
1110	91549	28676
1111	91624	28591
1112	91687	28503
1113	91762	28418
1114	91834	28332
1115	91911	28248
1116	91984	28163
1117	92081	28085
1118	92193	28012
1119	92297	27936
1120	92369	27850
1121	92438	27764
1122	92505	27677
1123	92581	27593
1124	92686	27517
1125	92787	27440
1126	92877	27360
1127	92951	27275
1128	93027	27191
1129	93100	27106
1130	93179	27022
1131	93251	26937
1132	93334	26855
1133	93421	26774
1134	93522	26697
1135	93618	26618
1136	93718	26541
1137	93805	26460
1138	93873	26373
1139	93944	26287
1140	94020	26203
1141	94099	26120
1142	94198	26042
1143	94302	25966
1144	94412	25891
1145	94502	25810
1146	94580	25727
1147	94648	25640
1148	94713	25553
1149	94778	25466
1150	94847	25380
1151	94920	25295
1152	94999	25212
1153	95082	25130
1154	95164	25047
1155	95247	24965
1156	95349	24888
1157	95453	24811
1158	95561	24735
1159	95656	24656
1160	95752	24577
1161	95847	24498
1162	95926	24414
1163	95995	24328
1164	96071	24244
1165	96148	24160
1166	96216	24074
1167	96287	23989
1168	96364	23905
1169	96451	23824
1170	96541	23743
1171	96643	23666
1172	96735	23585
1173	96808	23501
1174	96885	23417
1175	96954	23331
1176	97034	23248
1177	97119	23166
1178	97196	23083
1179	97275	22999
1180	97369	22920
1181	97472	22842
1182	97565	22762
1183	97634	22677
1184	97707	22592
1185	97775	22506
1186	97844	22421
1187	97918	22336
1188	97983	22250
1189	98066	22167
1190	98152	22086
1191	98240	22005
1192	98343	21927
1193	98446	21849
1194	98555	21772
1195	98647	21692
1196	98739	21612
1197	98825	21530
1198	98904	21447
1199	98989	21365
1200	99071	21282
1201	99146	21198
1202	99231	21116
1203	99298	21030
1204	99383	20948
1205	99470	20867
1206	99556	20785
1207	99624	20700
1208	99693	20614
1209	99758	20528
1210	99825	20443
1211	99895	20358
1212	99965	20273
1213	100052	20191
1214	100132	20108
1215	100219	20027
1216	100293	19943
1217	100366	19859
1218	100448	19776
1219	100546	19697
1220	100646	19618
1221	100732	19536
1222	100826	19456
1223	100908	19373
1224	100987	19290
1225	101079	19210
1226	101170	19129
1227	101275	19051
1228	101378	18972
1229	101472	18892
1230	101546	18807
1231	101609	18721
1232	101672	18635
1233	101737	18550
1234	101803	18464
1235	101885	18382
1236	101959	18298
1237	102060	18219
1238	102167	18141
1239	102262	18060
1240	102333	17976
1241	102404	17891
1242	102470	17806
1243	102541	17722
1244	102618	17638
1245	102692	17555
1246	102771	17471
1247	102848	17388
1248	102925	17305
1249	103001	17221
1250	103084	17139
1251	103181	17059
1252	103278	16979
1253	103353	16895
1254	103430	16812
1255	103505	16729
1256	103590	16646
1257	103699	16568
1258	103815	16491
1259	103904	16410
1260	104003	16330
1261	104083	16247
1262	104156	16163
1263	104231	16079
1264	104313	15997
1265	104387	15913
1266	104461	15830
1267	104533	15745
1268	104606	15662
1269	104689	15579
1270	104774	15497
1271	104885	15419
1272	104974	15337
1273	105051	15254
1274	105124	15170
1275	105206	15088
1276	105290	15006
1277	105370	14923
1278	105445	14839
1279	105527	14757
1280	105599	14673
1281	105673	14589
1282	105747	14506
1283	105829	14423
1284	105914	14341
1285	106011	14261
1286	106108	14180
1287	106204	14100
1288	106302	14019
1289	106380	13936
1290	106450	13852
1291	106514	13767
1292	106592	13684
1293	106665	13601
1294	106735	13517
1295	106811	13433
1296	106895	13351
1297	106988	13270
1298	107099	13191
1299	107197	13111
1300	107288	13029
1301	107372	12947
1302	107468	12866
1303	107565	12785
1304	107638	12702
1305	107696	12616
1306	107761	12532
1307	107828	12448
1308	107896	12363
1309	107962	12279
1310	108031	12195
1311	108102	12112
1312	108171	12028
1313	108266	11947
1314	108351	11865
